City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,new norfolk,-42.7826,147.0587,56.7,65,96,8.59,AU,1697152066
259,dolinsk,47.35,142.8,55.65,73,1,9.64,RU,1697152067
260,pereiaslav-khmelnytskyi,50.0877,31.4795,60.24,54,100,11.97,UA,1697152067
261,moose jaw,50.4001,-105.5344,53.37,43,1,10.85,CA,1697152067
262,madinat ash shamal,26.1293,51.2009,86.0,58,0,2.33,QA,1697152068
263,santiago,-33.4569,-70.6483,72.84,34,0,10.36,CL,1697151938
264,geraldton,-28.7667,114.6,73.81,23,100,13.8,AU,1697152069
265,kristiansund,63.1115,7.732,43.45,75,100,5.75,NO,1697152069
266,roma,43.2128,-75.4557,52.95,72,0,6.91,US,1697151964
267,znamenskoye,57.1281,73.8282,36.0,77,96,8.79,RU,1697152070
268,mugia,43.1041,-9.2179,73.17,88,100,19.22,ES,1697152070
269,kapa'a,22.0752,-159.319,85.98,62,0,13.8,US,1697152071
270,kiunga,-6.1219,141.2906,78.46,90,100,1.95,PG,1697152071
271,yaren,-0.5472,166.916,83.98,73,37,8.81,NR,1697152072
272,key west,24.5557,-81.7826,87.8,79,0,10.36,US,1697151825
273,porto novo,6.4965,2.6036,77.77,88,83,5.79,BJ,1697152073
274,whitby,54.4877,-0.615,50.31,85,87,1.01,GB,1697152073
275,viru,-8.4167,-78.75,69.64,76,96,5.79,PE,1697152073
276,zhicheng,30.2956,111.5047,60.78,81,96,4.0,CN,1697152074
277,kuala terengganu,5.3302,103.1408,77.88,87,37,4.12,MY,1697152074
278,hammerfest,70.6634,23.6821,34.25,93,40,1.14,NO,1697152075
279,acajutla,13.5928,-89.8275,83.01,80,42,4.05,SV,1697152034
280,tralee,52.2704,-9.7026,52.66,98,100,3.69,IE,1697152076
281,paraty,-23.2178,-44.7131,74.5,98,95,5.73,BR,1697152076
282,chibougamau,49.9168,-74.3659,43.32,87,87,5.03,CA,1697152077
283,singaraja,-8.112,115.0882,78.85,74,89,3.0,ID,1697152078
284,wanning,18.8003,110.3967,77.79,87,100,13.15,CN,1697152078
285,pariaman,-0.619,100.12,73.45,91,89,2.48,ID,1697152078
286,robore,-18.3333,-59.75,77.68,51,100,9.57,BO,1697152079
287,sept-iles,50.2001,-66.3821,51.06,95,100,5.75,CA,1697151991
288,oskarshamn,57.2645,16.4484,43.99,73,8,11.41,SE,1697152080
289,ancud,-41.8697,-73.8203,47.57,74,63,5.59,CL,1697152080
290,la ronge,55.1001,-105.2842,50.36,66,0,5.23,CA,1697152080
